,ai,knn_shr_ai,district_ai_share,partisan_dislocation,NAMELSAD
0,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
1,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
2,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
3,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
4,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
5,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
6,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
7,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
8,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
9,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
10,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
11,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
12,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
13,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
14,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
15,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
16,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
17,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
18,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
19,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
20,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
21,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
22,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
23,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
24,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
25,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
26,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
27,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
28,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
29,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
30,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
31,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
32,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
33,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
34,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
35,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
36,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
37,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
38,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
39,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
40,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
41,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
42,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
43,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
44,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
45,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
46,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
47,0,0.010718358038768529,0.021702838063439065,0.010984480024670536,State House District 39
